id,y,stage,match,gameday,time,stadium,home_score,away_score,weather,temperature,humidity
14053,5432,100,7,60,17.05,17000,1,0,-40,18,0.78
14054,12709,100,7,60,18.33,15600,2,0,-20,12.1,0.58
14055,17192,100,7,60,19.04,19694,4,0,-10,10.4,0.55
14056,8548,100,7,70,19.03,21000,3,1,-20,15.3,0.79
14057,22405,100,8,60,13.04,49970,0,1,-10,24.6,0.47
14058,18138,100,8,60,13.03,20000,1,2,-10,27.5,0.34
14059,10351,100,8,60,14.04,18500,1,1,-10,18.9,0.75
14060,19895,100,8,60,15.03,26530,1,4,-10,24.1,0.5
14061,17583,100,8,60,15.34,40728,5,0,-10,15.4,0.71
14062,8435,100,8,60,16.03,15600,2,1,-10,21.4,0.65
14063,21054,100,8,60,16.03,72327,3,1,-10,23,0.55
14064,24637,100,8,60,16.03,42300,0,1,-10,20.6,0.39
14065,12183,100,8,60,19.04,19628,3,2,-10,19,0.74
14066,9596,100,9,70,14.03,19620,1,0,-20,16.3,0.7
14067,11672,100,9,70,14.04,30132,3,0,-30,23.3,0.59
14068,15671,100,9,70,15.03,26530,4,3,-40,18.5,0.88
14069,17826,100,9,70,16.04,50000,0,1,-20,20.1,0.65
14070,18113,100,9,70,16.04,24490,1,1,-20,20,0.6
14071,44422,100,9,70,19.05,63700,1,2,-40,19.1,0.9
14072,18393,100,9,70,19.01,20281,3,0,-20,19.1,0.9
14073,25813,100,9,30,19.04,54224,0,1,-10,21.2,0.62
14074,10840,100,9,30,19.03,21000,2,2,-20,23.3,0.62
14075,18525,100,10,70,13.04,19694,0,1,-20,16.9,0.68
14076,24183,100,10,70,13.03,72327,2,1,-10,27.9,0.47
14077,16446,100,10,70,13.05,19628,1,2,-10,22.6,0.33
14078,12875,100,10,70,15.03,18500,2,5,-10,17.6,0.85
14079,11554,100,10,70,17.03,15600,1,0,-20,18.3,0.54
14080,22193,100,10,70,16.05,50889,2,2,-10,16.6,0.73
14081,20512,100,10,70,17.03,40000,2,3,-10,19,0.48
14082,10626,100,10,70,19.04,40728,0,0,-20,16.8,0.75
14083,21827,100,10,70,19.04,42300,0,2,-10,13.4,0.68
14084,10816,100,11,60,13.04,39232,0,1,-30,19.9,0.49
14085,13555,100,11,60,14.03,15165,3,0,-10,21.9,0.31
14086,7833,100,11,60,14.04,24490,1,1,-10,26.1,0.29
14087,16054,100,11,60,15.03,26530,0,2,-20,18.8,0.27
14088,12073,100,11,60,15.04,50000,1,3,-10,20.5,0.48
14089,15891,100,11,60,15.34,20281,1,1,-10,20.1,0.45
14090,31818,100,11,60,16.04,63700,1,1,-10,17.8,0.26
14091,14825,100,11,60,18.34,30132,0,1,-10,14.4,0.42
14092,15253,100,11,60,19.04,21000,1,1,-10,12.1,0.54
14093,25241,100,12,60,14.03,72327,0,0,-10,24.7,0.4
14094,12613,100,12,60,14.04,50000,3,2,-20,22.3,0.53
14095,21920,100,12,60,15.03,42300,1,6,-10,20.6,0.45
14096,35877,100,12,60,15.34,63700,1,0,-10,24.4,0.36
14097,9304,100,12,60,16.03,15600,0,2,-10,23.6,0.41
14098,13915,100,12,60,17.04,40728,7,0,-10,21.6,0.5
14099,16317,100,12,60,18.33,19694,4,0,-10,19.1,0.43
14100,19643,100,12,60,19.04,47816,1,2,-20,20.4,0.36
14101,25803,100,12,70,15.04,49970,3,2,-20,22.7,0.35
14102,16657,100,13,50,19.33,40000,0,1,-20,19.4,0.66
14103,8218,100,13,50,19.03,21000,2,3,-20,17.4,0.69
14104,6870,100,13,60,14.04,19620,1,3,-10,16.3,0.61
14105,16058,100,13,60,14.04,26530,3,2,-10,25.9,0.28
14106,16556,100,13,60,14.04,20281,0,0,-10,23.4,0.57
14107,10752,100,13,60,16.03,15165,4,0,-20,21.4,0.56
14108,22766,100,13,60,17.04,30132,1,2,-20,24.4,0.4
14109,12931,100,13,60,18.34,18500,2,0,-10,20.4,0.39
14110,33836,100,13,60,19.04,49970,1,1,-20,20,0.56
14111,13554,100,14,60,13.33,19694,4,1,-40,19.1,0.9
14112,15010,100,14,60,18.34,40728,2,3,-40,21.3,0.92
14113,9025,100,14,60,19.03,15600,2,4,-20,20.7,0.96
14114,23273,100,14,60,19.04,72327,1,0,-20,21.9,0.84
14115,23797,100,14,60,19.03,42300,1,0,-20,22.7,0.64
14116,10612,100,14,60,19.05,15165,1,3,-40,21.9,0.94
14117,14977,100,14,60,19.03,21000,1,2,-40,24.3,0.93
14118,11538,100,14,60,19.04,19628,1,4,-40,24.2,0.94
14119,9603,100,14,60,19.04,24490,0,1,-40,21.3,0.87
14120,14759,100,15,60,14.03,39232,0,4,-30,22.3,0.59
14121,22685,100,15,60,18.04,49970,2,0,-10,22.8,0.72
14122,17696,100,15,60,18.04,20281,1,1,-20,22.6,0.8
14123,13987,100,15,60,18.35,18500,1,1,-10,21.1,0.77
14124,15304,100,15,60,18.35,50000,0,0,-20,21.7,0.85
14125,39545,100,15,60,19.04,63700,0,0,-10,22.3,0.71
14126,20590,100,15,60,19.04,26530,0,0,-20,22.9,0.7
14127,16862,100,15,60,19.03,20000,2,0,-20,24.4,0.49
14128,16727,100,15,60,19.04,30132,1,0,-20,24.3,0.6
14129,26133,100,16,60,18.03,72327,1,1,-10,24.7,0.63
14130,18722,100,16,60,18.34,19694,2,2,-10,20.4,0.62
14131,12147,100,16,60,19.03,15600,1,0,-10,22.9,0.71
14132,18056,100,16,60,19.04,26530,0,1,-10,23.8,0.63
14133,35506,100,16,60,19.03,42300,1,1,-10,25.7,0.59
14134,13923,100,16,60,19.03,15165,3,1,-10,23.6,0.85
14135,14006,100,16,60,19.04,21000,2,6,-40,24.5,0.87
14136,36723,100,16,60,19.03,47816,1,1,-40,24.3,0.91
14137,10345,100,16,60,19.03,24490,1,0,-40,26.1,0.89
14138,7673,100,17,60,14.03,19620,0,1,-10,25.7,0.57
14139,30047,100,17,60,18.03,63700,4,3,-40,22.1,0.86
14140,14133,100,17,60,18.04,20281,0,0,-10,26.3,0.78
14141,12787,100,17,60,18.34,40728,1,0,-40,19.5,0.93
14142,24633,100,17,60,18.35,49970,3,2,-20,20.8,0.94
14143,25459,100,17,60,19.04,54224,1,2,-40,21.2,0.93
14144,9751,100,17,60,19.03,15454,1,1,-40,22.2,0.85
14145,15062,100,17,60,19.05,30132,0,1,-10,24.8,0.58
14146,12769,100,17,60,19.05,50000,2,0,-10,21.5,0.82
14147,14092,100,18,60,18.03,20281,3,5,-10,27,0.8
14148,9635,100,18,60,19.03,15600,2,2,-10,29.9,0.68
14149,33998,100,18,60,19.03,42300,0,0,-10,24.9,0.82
14150,11367,100,18,60,19.05,15165,4,1,-20,26.9,0.87
14151,24397,100,18,60,19.03,40000,0,0,-20,27.8,0.8
14152,14966,100,18,60,19.03,21000,1,2,-20,27.9,0.77
14153,26534,100,18,60,19.04,47816,0,1,-20,28.7,0.75
14154,11585,100,18,60,19.04,50000,3,0,-40,23.6,0.96
14155,13891,100,18,60,19.04,24490,1,0,-20,26.7,0.9
14156,8360,100,19,60,16.04,19620,2,1,-10,27.4,0.59
14157,28142,100,19,60,18.03,63700,2,0,-10,31.3,0.62
14158,14611,100,19,60,18.34,19694,1,1,-10,27.6,0.78
14159,15496,100,19,60,18.34,40728,2,2,-20,29,0.77
14160,23430,100,19,60,18.34,49970,0,2,-10,29.5,0.69
14161,11844,100,19,60,19.05,18500,4,1,-10,27.8,0.85
14162,14716,100,19,60,19.03,26530,4,1,-10,29.1,0.68
14163,24187,100,19,60,19.04,72327,3,0,-10,28.8,0.72
14164,17471,100,19,60,19.04,30132,1,1,-10,28.2,0.76
14165,34267,100,20,60,18.04,63700,2,2,-20,29.5,0.7
14166,17935,100,20,60,18.34,19694,2,2,-20,25.9,0.85
14167,25050,100,20,60,19.03,42300,1,1,-10,29.2,0.64
14168,12972,100,20,60,19.04,15165,2,2,-10,28.4,0.73
14169,10034,100,20,60,19.03,20000,5,1,-10,29.8,0.65
14170,12964,100,20,60,19.03,21000,3,1,-10,29.6,0.62
14171,8226,100,20,60,19.04,19628,4,0,-10,30.4,0.62
14172,16448,100,20,60,19.04,50000,1,2,-10,29.8,0.58
14173,12844,100,20,60,19.04,24490,2,0,-10,30.3,0.53
14174,11945,100,21,60,14.03,39232,2,1,-30,24.3,0.63
14175,16877,100,21,60,18.03,20281,3,2,-20,25.7,0.86
14176,14649,100,21,60,18.34,40728,2,1,-20,26.9,0.87
14177,11057,100,21,60,19.03,15600,1,2,-40,28,0.81
14178,13478,100,21,60,19.04,18500,1,1,-20,27.6,0.89
14179,12509,100,21,60,19.03,26530,1,2,-20,28.1,0.72
14180,11992,100,21,60,19.03,15454,3,2,-20,28.1,0.82
14181,18578,100,21,60,19.03,21000,2,2,-40,25.4,0.95
14182,14161,100,21,60,19.04,30132,1,0,-10,27.6,0.8
14183,8117,100,22,60,14.03,19620,2,4,-10,25.1,0.67
14184,18342,100,22,60,18.34,49970,0,1,-10,27.8,0.7
14185,17715,100,22,60,19.04,19694,0,0,-20,26.9,0.86
14186,44131,100,22,60,19.04,63700,2,1,-20,28,0.76
14187,33584,100,22,60,19.03,72327,2,2,-10,28.3,0.74
14188,32014,100,22,60,19.03,42300,0,2,-10,29.3,0.72
14189,10939,100,22,60,19.04,15165,4,3,-10,25.1,0.89
14190,30354,100,22,60,19.04,40000,0,5,-20,26.1,0.89
14191,11933,100,22,60,19.05,24490,0,1,-20,27,0.71
14192,23188,100,23,60,18.04,50889,0,2,-10,26.8,0.77
14193,12729,100,23,60,18.34,40728,0,1,-10,28.4,0.74
14194,11993,100,23,60,19.03,15600,1,3,-10,29.3,0.67
14195,13248,100,23,60,19.04,18500,0,3,-10,27.9,0.77
14196,18915,100,23,60,19.04,26530,0,1,-20,29.1,0.59
14197,15056,100,23,60,19.04,21000,7,2,-10,29.6,0.63
14198,14336,100,23,60,19.05,19628,2,0,-10,29.1,0.75
14199,13471,100,23,60,19.04,30132,0,0,-10,29.1,0.69
14200,23656,100,23,60,19.05,50000,0,1,-10,28.2,0.67
14201,10783,100,24,60,14.03,39232,0,2,-30,23.5,0.71
14202,39814,100,24,60,18.03,63700,1,1,-10,27.5,0.64
14203,26950,100,24,60,18.34,49970,3,1,-20,25,0.86
14204,17159,100,24,60,19.04,19694,2,1,-20,26.4,0.79
14205,13798,100,24,60,19.04,40728,1,0,-10,26.3,0.84
14206,24601,100,24,60,19.03,42300,0,1,-10,28.9,0.51
14207,11115,100,24,60,19.03,15165,1,1,-10,26.8,0.77
14208,14193,100,24,60,19.03,20000,1,0,-10,26.9,0.73
14209,19729,100,24,60,19.04,24490,4,1,-10,25.4,0.63
14210,10012,100,25,60,18.33,15400,1,0,-10,27.8,0.62
14211,10445,100,25,60,19.04,18500,3,1,-10,26.3,0.84
14212,18088,100,25,60,19.03,26530,2,2,-10,27.6,0.71
14213,34954,100,25,60,19.03,72327,1,2,-10,27.4,0.73
14214,13714,100,25,60,19.04,20281,1,1,-10,27.2,0.76
14215,17381,100,25,60,19.03,21000,1,1,-20,24,0.87
14216,24544,100,25,60,19.15,47816,0,2,-20,24.7,0.9
14217,13091,100,25,60,19.04,45000,1,2,-20,25.8,0.59
14218,25352,100,25,60,19.04,50000,2,1,-40,24,0.89
14219,7474,100,26,60,14.02,19620,0,5,-10,21.2,0.78
14220,15509,100,26,60,15.34,19694,2,1,-10,23.3,0.67
14221,16845,100,26,60,14.03,40728,1,2,-10,25.5,0.73
14222,11118,100,26,60,16.04,15165,0,0,-10,25.9,0.69
14223,15302,100,26,60,18.04,19628,3,2,-20,26.3,0.55
14224,46046,100,26,60,16.04,63700,0,5,-10,24.3,0.69
14225,34822,100,26,60,19.04,49970,1,2,-20,23.7,0.76
14226,15870,100,26,60,19.04,20000,1,2,-20,25.2,0.64
14227,12651,100,26,60,19.04,24490,3,1,-40,18.8,0.71
14228,11316,100,27,60,16.03,15600,0,0,-20,27.8,0.65
14229,26106,100,27,60,19.04,54224,1,2,-20,25.3,0.74
14230,22165,100,27,60,14.05,49970,2,1,-10,28.1,0.55
14231,20909,100,27,60,19.04,26530,1,0,-10,25.4,0.64
14232,22079,100,27,60,14.03,42300,5,0,-10,25.9,0.58
14233,12131,100,27,60,13.04,20281,3,1,-10,28.2,0.69
14234,14163,100,27,60,16.03,21000,2,2,-40,23.8,0.78
14235,12868,100,27,60,14.03,30132,2,3,-20,25.1,0.66
14236,15463,100,27,60,13.33,50000,4,1,-20,22.5,0.67
14237,30692,100,28,60,19.04,63700,1,2,-10,22.6,0.8
14238,36412,100,28,60,14.04,72327,0,0,-10,27,0.56
14239,23849,100,28,60,15.04,42300,0,0,-20,23,0.54
14240,28745,100,28,60,15.34,50889,0,1,-10,24.9,0.56
14241,10013,100,28,60,13.04,19628,3,2,-10,26.7,0.38
14242,18003,100,28,60,19.04,19694,2,1,-20,20.4,0.74
14243,15118,100,28,60,15.03,40728,5,1,-40,24.6,0.83
14244,10769,100,28,60,15.03,18500,1,0,-20,25.1,0.71
14245,8793,100,28,60,15.03,20000,0,0,-20,26.5,0.41
14246,7208,100,29,60,16.03,19620,0,0,-20,13.8,0.77
14247,17711,100,29,60,13.04,19694,3,2,-10,19.3,0.52
14248,11944,100,29,60,15.03,15600,1,1,-10,21.3,0.51
14249,18779,100,29,60,15.03,26530,2,3,-10,20.8,0.5
14250,21310,100,29,60,14.03,72327,4,0,-10,21.5,0.5
14251,14772,100,29,60,15.04,20281,1,1,-10,22,0.56
14252,14268,100,29,60,18.04,19628,1,1,-10,20.2,0.52
14253,24839,100,29,60,19.05,50000,1,2,-10,15.6,0.86
14254,11851,100,29,60,15.04,17000,1,3,-10,24.1,0.37
14255,14125,100,30,60,17.04,40728,1,2,-10,17.9,0.54
14256,32090,100,30,60,14.03,63700,0,0,-10,20.1,0.45
14257,23254,100,30,60,17.03,42300,0,2,-10,18.8,0.36
14258,10753,100,30,60,14.04,15165,1,1,-10,21.8,0.44
14259,16317,100,30,60,19.04,30132,3,3,-10,21.5,0.48
14260,12167,100,30,60,14.04,18500,1,4,-10,18.8,0.52
14261,20696,100,30,60,17.04,49970,5,0,-10,17,0.54
14262,22332,100,30,60,14.03,40000,1,1,-10,21.4,0.53
14263,17617,100,30,60,14.03,21000,1,1,-10,25.8,0.43
14264,17493,100,31,30,19.04,19694,1,1,-20,12.8,0.57
14265,12021,100,31,30,19.03,15600,0,0,-10,16.3,0.43
14266,17870,100,31,30,19.03,26530,4,2,-10,16.7,0.44
14267,8710,100,31,30,19,20281,0,1,-10,15.3,0.41
14268,8755,100,31,30,19.03,30132,1,2,-10,15.9,0.37
14269,13204,100,31,30,19.04,50000,3,0,-10,11.1,0.73
14270,8155,100,31,30,19.04,17000,3,2,-10,13.8,0.59
14271,10389,100,31,30,19.03,18500,2,2,-10,12.9,0.77
14272,7959,100,31,30,19.03,20000,1,0,-20,13.8,0.59
14273,10266,100,32,60,17.03,39232,2,3,-30,20.3,0.39
14274,15035,100,32,60,14.04,40728,3,3,-20,17.3,0.73
14275,41296,100,32,60,14.06,63700,2,0,-20,13.6,0.68
14276,17454,100,32,60,17.04,49970,0,1,-40,10.1,0.76
14277,22647,100,32,60,14.03,72327,1,2,-40,17.7,0.8
14278,25738,100,32,60,14.03,42300,0,1,-40,11.4,0.63
14279,12391,100,32,60,17.04,20281,1,3,-40,17.7,0.95
14280,8978,100,32,60,14.05,15165,0,2,-40,18.1,0.98
14281,9765,100,32,60,17.03,19628,1,3,-40,16.4,0.72
14282,19587,100,33,60,17.34,39232,0,2,-30,21.9,0.33
14283,18526,100,33,60,14.34,19694,0,1,-10,7.1,0.4
14284,12126,100,33,60,17.33,15600,2,0,-10,10,0.58
14285,12406,100,33,60,17.33,18500,1,0,-10,8.2,0.72
14286,19916,100,33,60,17.33,26530,2,1,-10,10.2,0.51
14287,23892,100,33,60,14.33,40000,1,2,-10,14.5,0.28
14288,19393,100,33,60,14.33,21000,2,2,-20,13.3,0.46
14289,32724,100,33,60,14.36,50000,4,1,-20,10.3,0.8
14290,22116,100,33,60,14.35,24490,3,1,-20,13.1,0.47
14291,19141,100,34,60,15.35,40728,2,0,-20,6.7,0.57
14292,51879,100,34,60,15.34,63700,2,0,-10,5.6,0.71
14293,30944,100,34,60,15.34,49970,6,2,-10,5.6,0.65
14294,26642,100,34,60,15.33,72327,1,0,-10,7.3,0.61
14295,28055,100,34,60,15.33,42300,4,1,-40,5.3,0.52
14296,14729,100,34,60,15.34,20281,0,0,-10,11.3,0.31
14297,14389,100,34,60,15.34,15165,2,1,-10,10.8,0.46
14298,18487,100,34,60,15.34,47816,2,2,-20,8.9,0.48
14299,22224,100,34,60,15.34,30132,0,1,-10,10.3,0.4
14300,5817,200,1,70,13.05,12000,2,1,-20,7.4,0.53
14301,12432,200,1,70,13.05,49970,2,0,-20,7.4,0.49
14302,10169,200,1,70,15.04,17000,2,1,-20,7.1,0.72
14303,3321,200,1,70,15.04,20000,2,2,-40,10.3,0.68
14304,6981,200,1,70,15.04,20000,1,1,-40,6.4,0.87
14305,7379,200,1,70,15.05,22563,2,1,-40,9.3,0.93
14306,9379,200,1,70,15.05,40000,2,3,-30,8.8,0.63
14307,11479,200,1,70,15.34,18500,2,0,-20,7.1,0.48
14308,3926,200,1,70,16.05,15576,2,0,-40,9.7,0.75
14309,9065,200,1,70,17.34,15100,2,1,-20,5.4,0.68
14310,3160,200,1,70,17.34,10202,1,2,-40,7.3,0.88
14311,2601,200,2,70,13.04,12000,1,0,-20,9.8,0.58
14312,4148,200,2,70,13.03,15589,0,3,-10,8.3,0.56
14313,4286,200,2,70,13.04,20010,0,1,-10,10.8,0.49
14314,13098,200,2,70,13.03,20396,1,2,-10,7.8,0.31
14315,6016,200,2,70,13.06,19637,3,0,-20,7.4,0.64
14316,4009,200,2,70,13.03,10202,0,0,-10,8.9,0.44
14317,4237,200,2,70,15.04,15135,1,3,-40,7.4,0.66
14318,7020,200,2,70,16.05,49970,1,3,-20,10.6,0.5
14319,7026,200,2,70,16.04,15454,0,0,-10,10.1,0.54
14320,5817,200,2,70,16.04,32000,2,1,-20,10.4,0.37
14321,8003,200,2,70,17.35,20588,2,0,-40,3.4,0.72
14322,6315,200,3,60,13.04,21292,3,2,-40,6.7,0.66
14323,2901,200,3,60,13.04,20588,2,0,-20,15.6,0.76
14324,2477,200,3,60,13.04,16033,0,3,-20,18.1,0.78
14325,3572,200,3,60,13.04,19637,0,1,-10,14.9,0.75
14326,4471,200,3,60,14.04,20396,1,0,-40,10.7,0.77
14327,3602,200,3,60,16.04,15100,3,1,-40,8.7,0.84
14328,3470,200,3,60,16.06,25250,1,4,-40,10.6,0.85
14329,1836,200,3,60,16.04,20000,0,0,-40,12.7,0.66
14330,5576,200,3,60,18.33,20000,0,3,-20,14.8,0.81
14331,6959,200,3,60,19.03,18500,3,0,-40,8.8,0.88
14332,6161,200,3,60,19.04,17000,2,1,-40,10,0.7
14333,4351,200,4,70,13.04,10328,1,0,-10,14.6,0.28
14334,5736,200,4,70,13.04,21292,2,1,-20,3.8,0.68
14335,2903,200,4,70,13.04,15135,0,0,-20,12.1,0.25
14336,5069,200,4,70,13.03,22563,0,0,-10,15.4,0.51
14337,7113,200,4,70,13.05,40000,1,0,-20,15.8,0.33
14338,6065,200,4,70,16.04,15100,2,1,-10,10.4,0.47
14339,3598,200,4,70,16.04,15576,3,0,-10,11.3,0.36
14340,2558,200,4,70,16.03,10202,1,0,-20,10.1,0.59
14341,2446,200,4,70,19.03,15589,0,0,-10,7.9,0.66
14342,3549,200,4,70,19.03,15454,0,0,-10,8.7,0.46
14343,2781,200,4,70,19.03,16033,2,1,-20,6.1,0.8
14344,2952,200,5,60,13.04,12000,0,0,-40,8.1,0.77
14345,1692,200,5,70,13.04,25250,2,3,-20,4.4,0.77
14346,4795,200,5,70,13.04,20588,2,1,-10,7.3,0.95
14347,5762,200,5,70,13.03,20000,2,1,-10,9.4,0.48
14348,4017,200,5,70,13.03,22563,4,0,-10,11.6,0.33
14349,6071,200,5,70,14.03,15454,0,2,-10,12,0.3
14350,2838,200,5,70,14.04,15576,1,1,-20,8.8,0.34
14351,8337,200,5,70,16.03,18500,3,0,-10,11.9,0.28
14352,3008,200,5,70,16.03,49970,2,0,-20,13.4,0.2
14353,4687,200,5,70,16.04,32000,3,3,-10,9.4,0.3
14354,2539,200,5,70,18.04,20000,0,2,-20,12.1,0.32
14355,6179,200,6,70,13.04,21292,0,0,-20,6.6,0.69
14356,4769,200,6,70,13.03,15589,2,1,-10,13.6,0.4
14357,8529,200,6,70,13.03,20396,0,3,-10,7.8,0.34
14358,7224,200,6,70,13.05,19934,3,2,-10,18.5,0.31
14359,2086,200,6,70,13.03,16033,1,2,-20,8.3,0.5
14360,3930,200,6,70,13.03,15000,3,0,-10,14.1,0.27
14361,6891,200,6,70,15.05,15135,1,1,-20,9.6,0.37
14362,6288,200,6,70,16.04,10328,1,2,-10,14,0.35
14363,9486,200,6,70,16.03,17000,1,2,-10,13.7,0.16
14364,5121,200,6,70,16.04,19637,1,2,-10,11.8,0.36
14365,8082,200,6,70,16.05,40000,1,0,-10,13,0.33
14366,5373,200,7,70,13.04,12000,0,1,-10,14.4,0.18
14367,2999,200,7,70,13.03,15589,2,0,-10,13.8,0.3
14368,3110,200,7,70,13.03,49970,2,0,-10,18.2,0.24
14369,7877,200,7,70,13.03,20000,1,0,-10,15.8,0.4
14370,3035,200,7,70,13.04,15576,4,2,-10,17.5,0.26
14371,3230,200,7,70,13.03,10202,1,0,-10,21.6,0.21
14372,5014,200,7,70,16.03,15454,1,2,-10,11.1,0.36
14373,7035,200,7,70,16.04,15100,2,0,-10,11,0.49
14374,9651,200,7,70,16.03,17000,1,0,-10,13.7,0.33
14375,2696,200,7,70,16.04,25250,1,2,-10,15.3,0.28
14376,3408,200,7,70,16.04,20000,0,1,-10,14.5,0.3
14377,6460,200,8,70,13.04,21292,1,0,-10,18.4,0.41
14378,2488,200,8,70,13.08,15135,1,0,-10,16.9,0.45
14379,3682,200,8,70,13.04,10328,0,3,-10,16.2,0.5
14380,5472,200,8,70,13.04,15000,0,3,-10,22.9,0.39
14381,8741,200,8,70,14.05,20588,1,0,-10,20,0.34
14382,9056,200,8,70,16.03,18500,0,0,-10,13.8,0.48
14383,7111,200,8,70,16.04,15100,3,2,-20,15.5,0.42
14384,2920,200,8,70,16.04,20000,1,0,-20,18.1,0.51
14385,2526,200,8,70,16.03,16033,0,0,-10,16.6,0.46
14386,4878,200,8,70,16.03,22563,1,1,-10,19.6,0.3
14387,7607,200,8,70,16.05,40000,0,0,-10,16.6,0.54
14388,3999,200,9,70,13.05,12000,1,0,-20,12.8,0.71
14389,2607,200,9,70,13.03,15589,1,1,-20,9.9,0.89
14390,7451,200,9,70,13.04,17000,1,1,-20,15,0.48
14391,1950,200,9,70,13.04,15576,0,0,-20,19.9,0.63
14392,3286,200,9,70,13.04,10202,0,1,-10,21.3,0.57
14393,7329,200,9,70,14.03,15454,2,1,-20,12.5,0.63
14394,6544,200,9,70,14.33,20010,1,2,-20,12.9,0.59
14395,6740,200,9,70,16.03,20396,1,0,-40,9.6,0.79
14396,2003,200,9,70,16.04,25250,2,3,-40,17,0.6
14397,5851,200,9,70,16.03,20000,2,0,-20,17.5,0.73
14398,2103,200,9,70,18.04,19637,0,4,-40,14.7,0.84
14399,5036,200,10,50,19.04,21292,2,1,-20,11.4,0.81
14400,1447,200,10,50,19.04,15135,0,2,-20,16.9,0.87
14401,6235,200,10,50,19.03,18500,1,1,-20,17.1,0.92
14402,3859,200,10,50,19.04,10328,0,1,-40,16.5,0.9
14403,4850,200,10,50,19.04,15100,1,2,-20,17.6,0.82
14404,3540,200,10,50,19.04,20000,0,2,-10,17.9,0.39
