id,y,stage,match,gameday,time,home,away,stadium,tv,home_score,away_score,weather,temperature,humidity,referee,home_team,home_01,home_02,home_03,home_04,home_05,home_06,home_07,home_08,home_09,home_10,home_11,away_team,away_01,away_02,away_03,away_04,away_05,away_06,away_07,away_08,away_09,away_10,away_11
14004,41069,100,2,60,14.04 ,浦和レッズ,柏レイソル,63700,スカパー／ｅ２／スカパー光／ＮＨＫ総合,1,0,-40,7.2,79%,東城　穣,浦和レッズ,加藤　順大,坪井　慶介,永田　充,槙野　智章,平川　忠亮,鈴木　啓太,阿部　勇樹,梅崎　司,柏木　陽介,原口　元気,デスポトビッチ,柏レイソル,菅野　孝憲,酒井　宏樹,那須　大亮,増嶋　竜也,橋本　和,レアンドロ　ドミンゲス,茨田　陽生,大谷　秀和,ジョルジ　ワグネル,田中　順也,リカルド　ロボ
14005,19488,100,2,60,14.03 ,横浜Ｆ・マリノス,ベガルタ仙台,72327,スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）,0,2,-40,6.4,80%,今村　義朗,横浜Ｆ・マリノス,飯倉　大樹,小林　祐三,栗原　勇蔵,中澤　佑二,金井　貢史,中村　俊輔,兵藤　慎剛,小椋　祥平,齋藤　学,小野　裕二,大黒　将志,ベガルタ仙台,林　卓人,菅井　直樹,鎌田　次郎,上本　大海,田村　直也,富田　晋伍,角田　誠,太田　吉彰,関口　訓充,ウイルソン,赤嶺　真吾
14006,26294,100,2,60,14.03 ,アルビレックス新潟,大宮アルディージャ,42300,スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）／新潟総合テレビ,1,2,-40,11,68%,松村　和彦,アルビレックス新潟,小澤　英明,村上　佑介,鈴木　大輔,大井　健太郎,金　珍洙,三門　雄大,本間　勲,田中　亜土夢,アラン　ミネイロ,矢野　貴章,ブルーノ　ロペス,大宮アルディージャ,北野　貴之,村上　和弘,菊地　光将,金　英權,下平　匠,渡邉　大剛,青木　拓矢,カルリーニョス,曺　永哲,東　慶悟,ラファエル
14007,30764,100,2,60,14.04 ,セレッソ大阪,ガンバ大阪,47816,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　１）／ＮＨＫ大阪,2,1,-20,17.1,70%,吉田　寿光,セレッソ大阪,キム　ジンヒョン,酒本　憲幸,茂庭　照幸,藤本　康太,丸橋　祐介,扇原　貴宏,山口　螢,キム　ボギョン,清武　弘嗣,ブランキーニョ,ケンペス,ガンバ大阪,藤ヶ谷　陽介,加地　亮,中澤　聡太,今野　泰幸,藤春　廣輝,明神　智和,遠藤　保仁,二川　孝広,パウリーニョ,ラフィーニャ,イ　スンヨル
14008,13231,100,2,60,15.04 ,清水エスパルス,サンフレッチェ広島,20281,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　４）／テレビ静岡,2,1,-40,11.5,95%,木村　博之,清水エスパルス,林　彰洋,吉田　豊,岩下　敬輔,カルフィン　ヨン　ア　ピン,李　記帝,村松　大輔,小野　伸二,大前　元紀,河井　陽介,アレックス,高木　俊幸,サンフレッチェ広島,西川　周作,森脇　良太,千葉　和彦,水本　裕貴,ミキッチ,青山　敏弘,森﨑　和幸,山岸　智,石原　直樹,髙萩　洋次郎,佐藤　寿人
14009,10653,100,2,60,17.04 ,ジュビロ磐田,サガン鳥栖,15165,スカパー／ｅ２／スカパー光,2,1,-40,15.1,95%,高山　啓義,ジュビロ磐田,川口　能活,駒野　友一,チョ　ビョングク,藤田　義明,金沢　浄,山本　康裕,小林　裕紀,山田　大記,ペク　ソンドン,菅沼　実,前田　遼一,サガン鳥栖,赤星　拓,丹羽　竜平,キム　クナン,呂　成海,磯崎　敬太,高橋　義希,藤田　直之,水沼　宏太,金　民友,池田　圭,豊田　陽平
14010,14036,100,2,60,17.06 ,ヴィッセル神戸,コンサドーレ札幌,30132,スカパー／ｅ２／スカパー光,2,1,-30,17.2,70%,飯田　淳平,ヴィッセル神戸,徳重　健太,近藤　岳登,北本　久仁衛,伊野波　雅彦,相馬　崇人,三原　雅俊,田中　英雄,野沢　拓也,橋本　英郎,森岡　亮太,大久保　嘉人,コンサドーレ札幌,李　昊乗,高木　純平,ジェイド　ノース,奈良　竜樹,岩沼　俊介,河合　竜二,山本　真希,近藤　祐介,内村　圭宏,岡本　賢明,前田　俊介
14011,21757,100,2,60,19.04 ,ＦＣ東京,名古屋グランパス,49970,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１／ＴＯＫＹＯ　ＭＸ,3,2,-40,7.6,83%,村上　伸次,ＦＣ東京,権田　修一,徳永　悠平,森重　真人,加賀　健一,太田　宏介,高橋　秀人,梶山　陽平,石川　直宏,長谷川　アーリアジャスール,羽生　直剛,ルーカス,名古屋グランパス,楢﨑　正剛,田中　隼磨,田中　マルクス闘莉王,増川　隆洋,阿部　翔平,吉村　圭司,ダニルソン,金崎　夢生,永井　謙佑,ケネディ,玉田　圭司
14012,11831,100,3,60,13.03 ,ベガルタ仙台,大宮アルディージャ,19694,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　１）,4,1,-20,8.9,57%,東城　穣,ベガルタ仙台,林　卓人,菅井　直樹,渡辺　広大,上本　大海,田村　直也,富田　晋伍,角田　誠,太田　吉彰,関口　訓充,柳沢　敦,赤嶺　真吾,大宮アルディージャ,北野　貴之,村上　和弘,菊地　光将,金　英權,下平　匠,青木　拓矢,上田　康太,渡邉　大剛,曺　永哲,東　慶悟,ラファエル
14013,14349,100,3,60,13.04 ,サンフレッチェ広島,鹿島アントラーズ,50000,スカパー／ｅ２／スカパー光,2,0,-20,10.6,60%,井上　知大,サンフレッチェ広島,西川　周作,森脇　良太,千葉　和彦,水本　裕貴,ミキッチ,青山　敏弘,森﨑　和幸,山岸　智,大﨑　淳矢,髙萩　洋次郎,佐藤　寿人,鹿島アントラーズ,曽ヶ端　準,新井場　徹,岩政　大樹,山村　和也,アレックス,増田　誓志,小笠原　満男,柴崎　岳,遠藤　康,ジュニーニョ,大迫　勇也
14014,14777,100,3,60,14.04 ,川崎フロンターレ,セレッソ大阪,26530,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１,0,1,-40,10.3,77%,松尾　一,川崎フロンターレ,西部　洋平,實藤　友紀,ジェシ,森下　俊,小宮山　尊信,中村　憲剛,柴崎　晃誠,田坂　祐介,山瀬　功治,レナト,小松　塁,セレッソ大阪,キム　ジンヒョン,茂庭　照幸,藤本　康太,丸橋　祐介,酒本　憲幸,扇原　貴宏,山口　螢,キム　ボギョン,清武　弘嗣,ブランキーニョ,ケンペス
14015,11839,100,3,60,14.04 ,ヴィッセル神戸,ＦＣ東京,30132,スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）,0,2,-10,12.4,51%,山本　雄大,ヴィッセル神戸,徳重　健太,近藤　岳登,北本　久仁衛,高木　和道,相馬　崇人,伊野波　雅彦,田中　英雄,野沢　拓也,橋本　英郎,吉田　孝行,大久保　嘉人,ＦＣ東京,権田　修一,徳永　悠平,森重　真人,加賀　健一,太田　宏介,高橋　秀人,長谷川　アーリアジャスール,石川　直宏,梶山　陽平,羽生　直剛,ルーカス
14016,10611,100,3,60,15.04 ,サガン鳥栖,横浜Ｆ・マリノス,24490,スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）,1,0,-10,12.7,30%,前田　拓哉,サガン鳥栖,赤星　拓,丹羽　竜平,小林　久晃,呂　成海,磯崎　敬太,高橋　義希,藤田　直之,水沼　宏太,金　民友,池田　圭,豊田　陽平,横浜Ｆ・マリノス,飯倉　大樹,小林　祐三,栗原　勇蔵,中澤　佑二,金井　貢史,中村　俊輔,谷口　博之,富澤　清太郎,兵藤　慎剛,大黒　将志,齋藤　学
14017,20192,100,3,60,16.03 ,コンサドーレ札幌,浦和レッズ,39232,スカパー／ｅ２／スカパー光,1,2,-30,20.6,35%,村上　伸次,コンサドーレ札幌,李　昊乗,高木　純平,ジェイド　ノース,奈良　竜樹,岩沼　俊介,河合　竜二,山本　真希,近藤　祐介,内村　圭宏,岡本　賢明,前田　俊介,浦和レッズ,加藤　順大,坪井　慶介,永田　充,槙野　智章,平川　忠亮,鈴木　啓太,阿部　勇樹,梅崎　司,柏木　陽介,矢島　慎也,デスポトビッチ
14018,12209,100,3,60,19.04 ,柏レイソル,清水エスパルス,18500,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１,2,1,-10,8.6,52%,吉田　寿光,柏レイソル,菅野　孝憲,酒井　宏樹,増嶋　竜也,那須　大亮,橋本　和,レアンドロ　ドミンゲス,栗澤　僚一,大谷　秀和,ジョルジ　ワグネル,リカルド　ロボ,工藤　壮人,清水エスパルス,林　彰洋,吉田　豊,岩下　敬輔,カルフィン　ヨン　ア　ピン,李　記帝,村松　大輔,小野　伸二,河井　陽介,大前　元紀,高木　俊幸,アレックス
14019,10603,100,3,70,16.03 ,名古屋グランパス,アルビレックス新潟,20000,スカパー／ｅ２／スカパー光,2,1,-10,6.4,58%,廣瀬　格,名古屋グランパス,楢﨑　正剛,田中　隼磨,田中　マルクス闘莉王,増川　隆洋,阿部　翔平,玉田　圭司,吉村　圭司,藤本　淳吾,金崎　夢生,ケネディ,永井　謙佑,アルビレックス新潟,小澤　英明,村上　佑介,鈴木　大輔,大井　健太郎,金　珍洙,菊地　直哉,本間　勲,小谷野　顕治,アラン　ミネイロ,平井　将生,ブルーノ　ロペス
14020,15072,100,3,70,19.03 ,ガンバ大阪,ジュビロ磐田,21000,スカパー／ｅ２／スカパー光,1,2,-20,4.6,56%,家本　政明,ガンバ大阪,藤ヶ谷　陽介,加地　亮,中澤　聡太,今野　泰幸,藤春　廣輝,武井　択也,遠藤　保仁,二川　孝広,パウリーニョ,ラフィーニャ,イ　スンヨル,ジュビロ磐田,八田　直樹,駒野　友一,チョ　ビョングク,藤田　義明,金沢　浄,小林　裕紀,山本　康裕,山田　大記,松浦　拓弥,菅沼　実,前田　遼一
14021,7936,100,4,60,13.03 ,大宮アルディージャ,名古屋グランパス,15600,スカパー／ｅ２／スカパー光,1,1,-20,18,73%,松尾　一,大宮アルディージャ,北野　貴之,渡部　大輔,菊地　光将,金　英權,下平　匠,青木　拓矢,カルリーニョス,上田　康太,金久保　順,曺　永哲,ラファエル,名古屋グランパス,楢﨑　正剛,田中　隼磨,田中　マルクス闘莉王,増川　隆洋,阿部　翔平,藤本　淳吾,ダニルソン,玉田　圭司,金崎　夢生,ケネディ,永井　謙佑
14022,16229,100,4,60,14.04 ,ＦＣ東京,サンフレッチェ広島,49970,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　４）／ＴＯＫＹＯ　ＭＸ（録）,0,1,-40,16.3,82%,佐藤　隆治,ＦＣ東京,権田　修一,徳永　悠平,森重　真人,加賀　健一,太田　宏介,高橋　秀人,田邉　草民,石川　直宏,羽生　直剛,谷澤　達也,ルーカス,サンフレッチェ広島,西川　周作,森脇　良太,千葉　和彦,水本　裕貴,ミキッチ,青山　敏弘,森﨑　和幸,山岸　智,大﨑　淳矢,髙萩　洋次郎,佐藤　寿人
14023,25743,100,4,60,15.03 ,浦和レッズ,川崎フロンターレ,63700,スカパー／ｅ２／スカパー光／テレ玉,1,1,-40,10,65%,家本　政明,浦和レッズ,加藤　順大,坪井　慶介,永田　充,槙野　智章,平川　忠亮,鈴木　啓太,阿部　勇樹,梅崎　司,柏木　陽介,矢島　慎也,ポポ,川崎フロンターレ,安藤　駿介,田中　裕介,ジェシ,森下　俊,小宮山　尊信,中村　憲剛,柴崎　晃誠,田坂　祐介,山瀬　功治,レナト,小松　塁
14024,9042,100,4,60,15.04 ,ジュビロ磐田,柏レイソル,15165,スカパー／ｅ２／スカパー光／静岡放送,1,0,-10,12.8,62%,中村　太,ジュビロ磐田,八田　直樹,駒野　友一,チョ　ビョングク,藤田　義明,宮崎　智彦,山本　康裕,小林　裕紀,山田　大記,松浦　拓弥,菅沼　実,前田　遼一,柏レイソル,菅野　孝憲,酒井　宏樹,那須　大亮,近藤　直也,橋本　和,レアンドロ　ドミンゲス,栗澤　僚一,大谷　秀和,水野　晃樹,田中　順也,工藤　壮人
14025,9598,100,4,60,15.04 ,セレッソ大阪,ベガルタ仙台,19628,スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）,1,2,-40,12.4,49%,村上　伸次,セレッソ大阪,キム　ジンヒョン,茂庭　照幸,酒本　憲幸,山下　達也,黒木　聖仁,扇原　貴宏,山口　螢,キム　ボギョン,清武　弘嗣,ブランキーニョ,ケンペス,ベガルタ仙台,林　卓人,菅井　直樹,渡辺　広大,上本　大海,田村　直也,富田　晋伍,角田　誠,太田　吉彰,関口　訓充,ウイルソン,赤嶺　真吾
14026,16836,100,4,60,16.03 ,アルビレックス新潟,ガンバ大阪,42300,スカパー／ｅ２／スカパー光,1,1,-40,7.1,64%,扇谷　健司,アルビレックス新潟,小澤　英明,村上　佑介,大井　健太郎,石川　直樹,金　珍洙,三門　雄大,本間　勲,矢野　貴章,アラン　ミネイロ,平井　将生,ブルーノ　ロペス,ガンバ大阪,藤ヶ谷　陽介,加地　亮,中澤　聡太,今野　泰幸,藤春　廣輝,武井　択也,遠藤　保仁,二川　孝広,倉田　秋,ラフィーニャ,イ　スンヨル
14027,14216,100,4,60,18.34 ,清水エスパルス,コンサドーレ札幌,20281,スカパー／ｅ２／スカパー光,1,0,-10,10.9,47%,高山　啓義,清水エスパルス,林　彰洋,吉田　豊,岩下　敬輔,カルフィン　ヨン　ア　ピン,李　記帝,村松　大輔,小野　伸二,河井　陽介,アレックス,高木　俊幸,大前　元紀,コンサドーレ札幌,李　昊乗,高木　純平,ジェイド　ノース,奈良　竜樹,岩沼　俊介,河合　竜二,山本　真希,近藤　祐介,内村　圭宏,岡本　賢明,前田　俊介
14028,22126,100,4,60,19.03 ,横浜Ｆ・マリノス,鹿島アントラーズ,72327,スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）,0,0,-20,9.4,50%,飯田　淳平,横浜Ｆ・マリノス,飯倉　大樹,小林　祐三,栗原　勇蔵,中澤　佑二,金井　貢史,谷口　博之,中町　公祐,兵藤　慎剛,中村　俊輔,齋藤　学,大黒　将志,鹿島アントラーズ,曽ヶ端　準,西　大伍,岩政　大樹,山村　和也,アレックス,小笠原　満男,梅鉢　貴秀,遠藤　康,柴崎　岳,大迫　勇也,興梠　慎三
14029,7719,100,4,60,19.04 ,サガン鳥栖,ヴィッセル神戸,24490,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１,3,0,-10,10.1,25%,松村　和彦,サガン鳥栖,赤星　拓,丹羽　竜平,小林　久晃,呂　成海,磯崎　敬太,岡本　知剛,藤田　直之,水沼　宏太,金　民友,池田　圭,豊田　陽平,ヴィッセル神戸,徳重　健太,近藤　岳登,伊野波　雅彦,高木　和道,相馬　崇人,橋本　英郎,田中　英雄,朴　康造,野沢　拓也,吉田　孝行,大久保　嘉人
14030,14023,100,5,60,14.05 ,コンサドーレ札幌,柏レイソル,39232,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１,0,2,-30,20.8,32%,家本　政明,コンサドーレ札幌,高木　貴弘,高木　純平,ジェイド　ノース,奈良　竜樹,岩沼　俊介,河合　竜二,宮澤　裕樹,近藤　祐介,内村　圭宏,岡本　賢明,前田　俊介,柏レイソル,菅野　孝憲,酒井　宏樹,増嶋　竜也,近藤　直也,福井　諒司,レアンドロ　ドミンゲス,栗澤　僚一,茨田　陽生,ジョルジ　ワグネル,田中　順也,工藤　壮人
14031,13147,100,5,60,14.03 ,ベガルタ仙台,ジュビロ磐田,19694,スカパー／ｅ２／スカパー光／ＮＨＫ仙台／ＮＨＫ静岡,2,2,-20,6.1,53%,吉田　寿光,ベガルタ仙台,林　卓人,菅井　直樹,鎌田　次郎,上本　大海,田村　直也,富田　晋伍,角田　誠,太田　吉彰,関口　訓充,ウイルソン,赤嶺　真吾,ジュビロ磐田,八田　直樹,駒野　友一,チョ　ビョングク,藤田　義明,宮崎　智彦,山本　康裕,小林　裕紀,山田　大記,松浦　拓弥,菅沼　実,前田　遼一
14032,13824,100,5,60,14.03 ,名古屋グランパス,サガン鳥栖,40000,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　４）／ＮＨＫ名古屋／ＮＨＫ佐賀,1,0,-10,9.6,26%,井上　知大,名古屋グランパス,楢﨑　正剛,田中　隼磨,田中　マルクス闘莉王,増川　隆洋,阿部　翔平,小川　佳純,ダニルソン,藤本　淳吾,玉田　圭司,永井　謙佑,金崎　夢生,サガン鳥栖,赤星　拓,丹羽　竜平,小林　久晃,呂　成海,金　民友,岡本　知剛,藤田　直之,水沼　宏太,野田　隆之介,池田　圭,豊田　陽平
14033,12709,100,5,60,14.04 ,ヴィッセル神戸,清水エスパルス,30132,スカパー／ｅ２／スカパー光,0,1,-10,12,28%,廣瀬　格,ヴィッセル神戸,徳重　健太,奥井　諒,イ　グァンソン,高木　和道,相馬　崇人,三原　雅俊,伊野波　雅彦,野沢　拓也,大久保　嘉人,吉田　孝行,都倉　賢,清水エスパルス,林　彰洋,吉田　豊,岩下　敬輔,カルフィン　ヨン　ア　ピン,李　記帝,村松　大輔,河井　陽介,アレックス,大前　元紀,高木　俊幸,ジミー　フランサ
14034,15854,100,5,60,15.04 ,アルビレックス新潟,横浜Ｆ・マリノス,42300,スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）／ＮＨＫ新潟,0,0,-20,3.4,63%,佐藤　隆治,アルビレックス新潟,東口　順昭,村上　佑介,鈴木　大輔,石川　直樹,金　珍洙,三門　雄大,本間　勲,田中　亜土夢,アラン　ミネイロ,矢野　貴章,ブルーノ　ロペス,横浜Ｆ・マリノス,飯倉　大樹,小林　祐三,栗原　勇蔵,中澤　佑二,ドゥトラ,小椋　祥平,中町　公祐,兵藤　慎剛,中村　俊輔,小野　裕二,大黒　将志
14035,8180,100,5,60,16.03 ,大宮アルディージャ,セレッソ大阪,15600,スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）,0,3,-20,9.8,20%,西村　雄一,大宮アルディージャ,北野　貴之,渡部　大輔,菊地　光将,金　英權,下平　匠,青木　拓矢,カルリーニョス,渡邉　大剛,曺　永哲,金久保　順,ラファエル,セレッソ大阪,キム　ジンヒョン,茂庭　照幸,藤本　康太,酒本　憲幸,高橋　大輔,扇原　貴宏,山口　螢,キム　ボギョン,清武　弘嗣,ブランキーニョ,ケンペス
14036,23507,100,5,60,17.04 ,鹿島アントラーズ,浦和レッズ,40728,スカパー／ｅ２／スカパー光,1,3,-10,9.3,31%,木村　博之,鹿島アントラーズ,曽ヶ端　準,西　大伍,岩政　大樹,山村　和也,新井場　徹,梅鉢　貴秀,小笠原　満男,遠藤　康,土居　聖真,大迫　勇也,興梠　慎三,浦和レッズ,加藤　順大,坪井　慶介,永田　充,槙野　智章,平川　忠亮,鈴木　啓太,阿部　勇樹,梅崎　司,柏木　陽介,マルシオ　リシャルデス,ポポ
14037,12318,100,5,60,19.04 ,サンフレッチェ広島,ガンバ大阪,50000,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１,4,1,-10,3.4,76%,山本　雄大,サンフレッチェ広島,西川　周作,ファン　ソッコ,千葉　和彦,水本　裕貴,ミキッチ,青山　敏弘,森﨑　和幸,森脇　良太,大﨑　淳矢,髙萩　洋次郎,佐藤　寿人,ガンバ大阪,藤ヶ谷　陽介,加地　亮,中澤　聡太,今野　泰幸,藤春　廣輝,武井　択也,遠藤　保仁,倉田　秋,二川　孝広,佐藤　晃大,ラフィーニャ
14038,20996,100,5,70,16.03 ,川崎フロンターレ,ＦＣ東京,26530,スカパー／ｅ２／スカパー光,0,1,-10,12.9,35%,扇谷　健司,川崎フロンターレ,西部　洋平,實藤　友紀,ジェシ,森下　俊,小宮山　尊信,中村　憲剛,柴崎　晃誠,田坂　祐介,矢島　卓郎,レナト,小林　悠,ＦＣ東京,権田　修一,徳永　悠平,森重　真人,チャン　ヒョンス,太田　宏介,高橋　秀人,長谷川　アーリアジャスール,石川　直宏,羽生　直剛,谷澤　達也,ルーカス
14039,12318,100,6,60,13.03 ,柏レイソル,ベガルタ仙台,18500,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　４）,2,3,-40,10.2,93%,扇谷　健司,柏レイソル,菅野　孝憲,酒井　宏樹,那須　大亮,増嶋　竜也,藤田　優人,レアンドロ　ドミンゲス,栗澤　僚一,茨田　陽生,ジョルジ　ワグネル,工藤　壮人,田中　順也,ベガルタ仙台,林　卓人,菅井　直樹,鎌田　次郎,上本　大海,朴　柱成,松下　年宏,富田　晋伍,太田　吉彰,関口　訓充,ウイルソン,赤嶺　真吾
14040,19279,100,6,60,13.04 ,ＦＣ東京,鹿島アントラーズ,49970,スカパー／ｅ２／スカパー光,1,2,-40,10.3,87%,吉田　寿光,ＦＣ東京,権田　修一,徳永　悠平,森重　真人,チャン　ヒョンス,太田　宏介,高橋　秀人,米本　拓司,石川　直宏,羽生　直剛,谷澤　達也,ルーカス,鹿島アントラーズ,曽ヶ端　準,西　大伍,岩政　大樹,山村　和也,新井場　徹,梅鉢　貴秀,青木　剛,遠藤　康,小笠原　満男,大迫　勇也,興梠　慎三
